Rk,Date,Tm,Opp,Rslt,IP,H,R,ER,BB,SO,HR,UER,Pit,Str,IR,IS,BF,AB,2B,3B,IBB,HBP,SH,SF,GDP,SB,CS,PO,BK,WP,ERA,WPA,RE24,aLI,#,Attendance,GmLen
26,2015-05-26,DET,OAK,W 1-0,9.0,7,0,0,1,3,0,0,137,95,1,0,37,35,2,0,0,1,0,0,0,0,0,0,0,0,0.00,0.831,4.379,1.766,4,22758,178
27,2015-08-18,KCR,CIN,W 3-1,13.0,5,1,1,6,16,1,0,220,138,0,0,49,43,0,0,1,0,0,0,1,1,0,0,0,0,0.69,0.826,5.047,1.273,8,28719,279
28,2015-08-20,TBR,HOU,W 1-0,9.0,1,0,0,1,11,0,0,98,65,,,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.819,4.379,1.336,1,18177,152
29,2015-06-01,MIL,STL,W 1-0,9.0,8,0,0,3,11,0,0,145,89,1,0,37,34,0,0,0,0,0,0,1,1,0,0,0,0,0.00,0.815,4.229,2.259,5,40689,185
30,2015-10-03,CHC,MIL,W 1-0,9.0,2,0,0,1,11,0,0,118,82,0,0,29,28,0,0,0,0,0,0,1,0,0,0,0,0,0.00,0.812,4.229,1.559,4,35291,169
31,2015-07-29,CIN,STL,W 1-0,9.0,4,0,0,3,6,0,0,129,80,0,0,33,28,1,0,0,1,1,0,2,0,0,0,0,0,0.00,0.812,4.229,1.431,3,42334,138
32,2015-04-21,BOS,TBR,W 1-0,9.0,4,0,0,4,5,0,0,117,73,3,0,32,28,0,0,0,0,0,0,2,0,0,1,0,0,0.00,0.812,4.248,1.650,5,14307,168
33,2015-08-27,LAD,CIN,W 1-0,9.0,4,0,0,3,10,0,0,136,84,0,0,34,31,0,0,0,0,0,0,0,1,0,0,0,0,0.00,0.809,4.187,1.593,3,25529,174
34,2015-07-21,TBR,PHI,W 1-0,9.0,4,0,0,3,9,0,0,137,92,1,0,33,29,1,0,0,1,0,0,1,0,1,0,0,0,0.00,0.806,4.188,1.601,6,28703,172
35,2015-07-30,WSN,MIA,W 1-0,9.0,3,0,0,3,9,0,0,128,91,0,0,31,27,0,0,0,0,1,0,2,1,0,0,0,1,0.00,0.800,4.106,1.630,3,30068,158
36,2015-07-10,CIN,MIA,W 1-0,9.0,4,0,0,1,13,0,0,119,80,0,0,32,30,1,0,0,0,1,0,0,0,0,0,0,0,0.00,0.800,4.106,1.656,2,22222,141
37,2015-06-12,ARI,SFG,W 1-0,9.0,2,0,0,1,3,0,0,124,81,0,0,31,28,0,0,0,2,0,0,0,1,0,0,0,2,0.00,0.795,4.057,1.632,3,41952,172
38,2015-05-03,WSN,NYM,W 1-0,9.0,5,0,0,2,6,0,0,130,89,3,0,34,32,1,0,0,0,0,0,0,0,0,0,0,1,0.00,0.791,3.976,1.893,5,41048,175
